problem,complete,cleared,virtual_time_s,mean_time_s,program_time_s,stations_visited,scheduling_policy,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,skipped_known_measurements,route_replans,negative_observations,negative_region_fallbacks,negative_constraints,ring_activated,coverage_sites_cancelled,strategy,coverage_layout,q3_ring_guard,normal_exit,max_step_time_error_s,provenance,seed,total,ratio,spacing,error,directional
3,True,15,3193.4184102276663,212.8945606818444,0.209827899991069,7,joint_route,103,15,0,0,2510.4184102276654,93.0,515.0,45.0,30.0,286,15,3,11,15,18,18,False,0,0,1,0,integrated,original,aggressive,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,3482000,15,1.0,950.0,fixed,0
3,True,13,2971.9372737959397,228.6105595227646,0.15327559999423102,7,joint_route,99,13,0,0,2321.9372737959397,90.0,495.0,39.0,26.0,228,13,1,6,12,13,18,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482001,13,1.0,950.0,fixed,0
3,True,16,3295.739472570556,205.98371703565974,0.2573617999878479,7,joint_route,106,16,0,0,2592.739472570555,93.0,530.0,48.0,32.0,402,16,1,8,16,16,20,False,0,0,1,0,integrated,original,aggressive,True,2.2737367544323206e-13,LOCAL_SYNTHETIC,3482002,16,1.0,950.0,fixed,0
3,True,12,3375.648918107707,281.3040765089756,0.15761180000845343,7,joint_route,104,12,0,0,2698.6489181077077,97.0,520.0,36.0,24.0,185,12,5,12,12,29,13,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482003,12,1.0,950.0,fixed,0
3,True,10,2734.3503447953226,273.43503447953225,0.13184560000081547,7,joint_route,113,10,0,0,2011.3503447953221,108.0,565.0,30.0,20.0,149,10,0,6,10,8,14,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482004,10,1.0,950.0,fixed,0
3,True,16,3151.1997852997843,196.94998658123652,0.22488670000166167,7,joint_route,97,16,0,0,2497.1997852997843,89.0,485.0,48.0,32.0,322,16,2,10,16,23,20,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482005,16,1.0,950.0,fixed,0
3,True,16,3169.7389646104543,198.1086852881534,0.2235283000045456,6,joint_route,96,16,0,0,2520.738964610454,89.0,480.0,48.0,32.0,321,16,4,12,15,14,17,False,0,0,1,1,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482006,16,1.0,950.0,fixed,0
3,True,10,3296.4576704133465,329.64576704133464,0.15656730000046082,7,joint_route,126,10,0,0,2501.457670413346,115.0,630.0,30.0,20.0,241,10,2,2,9,9,14,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482007,10,1.0,950.0,fixed,0
3,True,10,2552.0752417166523,255.20752417166523,0.12163379999401513,7,joint_route,104,10,0,0,1884.075241716652,98.0,520.0,30.0,20.0,127,10,2,9,10,13,14,False,0,0,1,0,integrated,original,aggressive,True,2.2737367544323206e-13,LOCAL_SYNTHETIC,3482008,10,1.0,950.0,fixed,0
3,True,12,3466.479171890406,288.87326432420053,0.1738045000092825,7,joint_route,126,12,0,0,2661.4791718904057,115.0,630.0,36.0,24.0,296,12,1,4,9,10,16,False,0,0,1,0,integrated,original,aggressive,True,2.2737367544323206e-13,LOCAL_SYNTHETIC,3482009,12,1.0,950.0,fixed,0
3,True,12,2949.5789398332718,245.79824498610597,0.16771029999654274,7,joint_route,109,12,0,0,2241.578939833271,103.0,545.0,36.0,24.0,219,12,1,11,12,17,17,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482010,12,1.0,950.0,fixed,0
3,True,15,3086.7851505950666,205.78567670633777,0.19273810001323,7,joint_route,93,15,0,0,2461.785150595067,85.0,465.0,45.0,30.0,219,15,1,15,15,21,19,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482011,15,1.0,950.0,fixed,0
3,True,13,3223.9387844655985,247.99529111273836,0.19978049999917857,7,joint_route,110,13,0,0,2506.9387844655976,102.0,550.0,39.0,26.0,298,13,1,7,12,8,18,False,0,0,1,0,integrated,original,aggressive,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,3482012,13,1.0,950.0,fixed,0
3,True,14,3624.7463192810033,258.91045137721454,0.19458850000228267,7,joint_route,103,14,0,0,2944.7463192810033,95.0,515.0,42.0,28.0,240,14,0,11,14,14,19,False,0,0,1,0,integrated,original,aggressive,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,3482013,14,1.0,950.0,fixed,0
